ItemID,Domain Name,Traffic,Bids,Price,Estimated Value,Domain Age,Auction End Time,Sale Type,Majestic TF,Majestic CF,Backlinks,Referring Domains,TLDs Taken
684781118,car360.com,4,94,102727.27,962454.55,21,2026-01-23 19:36:00,Auction,7,15,36,31,32
684040633,waitingroom.com,0,59,160454.55,1529636.36,23,2026-01-21 17:28:00,Auction,0,8,4,4,
682066058,mississippicir.org,0,58,950000,2727.27,8,2026-01-20 19:44:00,Auction,12,24,1609,552,1
683164997,mattressland.com,9,58,229545.45,348454.55,28,2026-01-19 18:44:00,Auction,23,21,506,216,8
684039687,36535.com,2,55,107181.82,485363.64,21,2026-01-21 16:31:00,Auction,0,1,19,11,12
684023991,element.org,13,55,307545.45,988818.18,29,2026-01-22 16:26:00,Auction,2,19,1748,166,246
684741550,carsafe.com,2,53,117909.09,1166181.82,24,2026-01-23 17:34:00,Auction,2,18,166,157,37
682452948,lacapanninadifranceschi.com,0,53,636363.64,24636.36,14,2026-01-21 21:29:00,Auction,10,19,331,230,2
684018880,6fm.com,2,52,43636.36,411181.82,28,2026-01-21 16:45:00,Auction,0,7,18,10,15
683681176,y222.com,2,51,43363.64,683363.64,25,2026-01-20 18:55:00,Auction,0,13,15,14,10
684933678,morrissey.com,4,50,386363.64,1302818.18,31,2026-01-25 17:35:00,Auction,2,12,40,26,47
681607202,domain.cc,0,50,71545.45,517636.36,29,2026-01-22 20:02:00,Auction,5,14,31,12,370
682786148,fudd.com,0,48,66272.73,986545.45,27,2026-01-22 19:29:00,Auction,3,10,8,7,19
681262473,wpdfd.com,0,47,52636.36,175818.18,29,2026-01-19 20:11:00,Auction,32,34,14252,1058,2
682591347,hipvegancafe.com,0,44,129545.45,112727.27,16,2026-01-21 20:05:00,Auction,6,13,101,55,
683681326,y555.com,0,43,31545.45,625090.91,25,2026-01-20 18:58:00,Auction,0,12,14,14,14
681760675,737bet.com,0,43,26000,115818.18,12,2026-01-19 20:21:00,Auction,0,3,22,14,23
684493298,thenotary.com,0,42,286363.64,838272.73,27,2026-01-22 16:49:00,Auction,0,10,9,9,29
683177612,deeppower.com,2,42,93181.82,337909.09,15,2026-01-19 18:42:00,Auction,4,16,141,130,18
684492312,shabbyapple.com,63,42,46363.64,169545.45,20,2026-01-22 16:15:00,Auction,14,39,75457,1419,1
681961922,rankpro.com,0,41,55454.55,465818.18,27,2026-01-20 19:29:00,Auction,0,1,22,12,19
684856358,footballagent.com,0,41,60000,657545.45,23,2026-01-24 18:07:00,Auction,0,5,6,6,23
682347768,ggok.com,0,41,35363.64,443727.27,25,2026-01-21 20:35:00,Auction,0,13,19,16,13
684855883,hellohuman.com,0,38,368181.82,775181.82,24,2026-01-24 17:32:00,Auction,0,7,31,14,46
684422534,glp1.org,0,38,82636.36,87090.91,4,2026-01-26 17:28:00,Auction,0,1,9,8,123
685535972,lifemode.com,0,37,25636.36,678272.73,4,2026-01-27 20:38:00,Auction,0,0,0,0,13
685103491,helptech.com,0,37,43636.36,1010727.27,27,2026-01-26 16:57:00,Auction,0,10,37,19,54
683176634,goodfinancial.com,0,36,136181.82,661000,22,2026-01-19 20:37:00,Auction,0,4,5,3,4
681838615,clustal.org,0,36,408545.45,59272.73,19,2026-01-19 16:20:00,Auction,19,28,9216,633,2
683664340,chatgptads.com,4,36,93181.82,1545.45,4,2026-01-20 20:00:00,Auction,0,7,6,6,12
681342817,healthtrek.com,0,36,57727.27,681090.91,27,2026-01-20 20:47:00,Auction,11,12,58,23,14
684691512,k9bet.com,0,35,106909.09,248818.18,11,2026-01-22 19:14:00,Auction,0,7,9,9,61
683669619,openaxis.com,2,35,30909.09,379545.45,27,2026-01-20 20:43:00,Auction,2,13,934,538,12
684018989,sunsation.com,0,34,39818.18,451818.18,28,2026-01-21 16:31:00,Auction,0,7,21,13,26
683668554,hyzon.com,0,31,15000,468545.45,8,2026-01-20 18:57:00,Auction,0,1,28,16,12
683664553,livenow.net,0,31,19454.55,305545.45,27,2026-01-20 19:46:00,Auction,0,10,23,22,83
685132144,homelux.com,0,31,41818.18,959090.91,28,2026-01-26 19:04:00,Auction,0,13,52,35,
681230607,veluwe.com,0,30,15272.73,776181.82,25,2026-01-19 19:57:00,Auction,0,5,6,6,25
683165118,wrcp.com,0,30,35454.55,494636.36,29,2026-01-19 20:56:00,Auction,3,11,262,17,8
681230848,voguish.com,0,30,51363.64,1060363.64,23,2026-01-19 20:59:00,Auction,0,10,7,7,31
683181558,rstp.com,0,29,87272.73,776000,27,2026-01-19 18:26:00,Auction,3,16,208,159,20
684451433,styleclub.com,0,29,61454.55,1036818.18,27,2026-01-22 18:05:00,Auction,0,8,232,232,27
683170429,taprootmag.com,61,29,120454.55,124000,15,2026-01-19 16:00:00,Auction,15,21,1509,402,1
684848515,eugenix.com,0,28,28727.27,773000,20,2026-01-24 19:59:00,Auction,3,6,3,3,14
684933729,cashgrow.com,0,28,30727.27,448636.36,28,2026-01-25 19:33:00,Auction,0,10,11,11,15
681760730,319bet.com,0,28,25181.82,196272.73,12,2026-01-19 19:24:00,Auction,0,9,16,8,7
684053748,td888.com,0,26,10545.45,347454.55,18,2026-01-21 18:17:00,Auction,5,7,8,7,17
685705630,zucg.com,2,25,11000,228636.36,19,2026-01-28 18:30:00,Auction,0,8,11,11,
684436808,davemiller.com,0,25,41818.18,495727.27,30,2026-01-22 18:21:00,Auction,0,8,10,9,13
684852458,amboothslumberyard.com,2,25,131636.36,65818.18,11,2026-01-24 20:55:00,Auction,8,16,106,56,1
684058307,winemakers.com,0,25,46363.64,1412454.55,30,2026-01-24 20:01:00,Auction,0,9,8,8,30
684962405,whiteclover.com,0,25,18727.27,760454.55,27,2026-01-25 16:20:00,Auction,0,5,2,2,21
681230882,cyclepowermeters.com,0,24,48181.82,179727.27,20,2026-01-19 21:15:00,Auction,24,18,1661,397,2
684039108,proteinx.com,2,24,37181.82,406272.73,27,2026-01-21 17:04:00,Auction,3,13,18,16,15
684791292,restlab.com,0,23,12727.27,342454.55,20,2026-01-23 16:47:00,Auction,0,11,11,11,12
683159502,livingpicture.com,0,23,20636.36,530272.73,29,2026-01-19 20:34:00,Auction,0,10,11,11,
681487584,exercises.org,0,23,29636.36,421090.91,27,2026-01-21 16:48:00,Auction,0,3,8,8,41
681661217,ccstore.com,0,23,15000,921363.64,21,2026-01-22 18:17:00,Auction,0,1,9,9,22
683167172,828win.com,0,23,12272.73,208545.45,7,2026-01-19 17:28:00,Auction,0,11,20,13,3
684476667,casino9.com,2,22,19545.45,515000,16,2026-01-22 18:03:00,Auction,3,14,32,28,15
683159656,rockonline.com,4,22,50000,904363.64,32,2026-01-19 20:57:00,Auction,16,18,421,224,21
683163674,uep.org,0,22,34545.45,549545.45,28,2026-01-20 18:41:00,Auction,0,11,15,12,62
682089350,demico.com,0,22,20636.36,383454.55,29,2026-01-19 21:03:00,Auction,3,12,15,14,18
683165341,tinysmarthouse.com,11,22,111363.64,81272.73,15,2026-01-19 19:50:00,Auction,10,16,143,70,3
683004591,domainbio.com,0,21,18454.55,338181.82,25,2026-01-22 21:09:00,Auction,0,1,11,10,3
681783778,yuvrajsilkhouse.com,0,21,27727.27,1181.82,3,2026-01-19 19:51:00,Auction,0,19,76,76,2
682787360,whiteshell.com,0,21,23181.82,661818.18,31,2026-01-21 19:16:00,Auction,5,12,115,20,10
684055088,petadvisers.com,20,21,27727.27,290818.18,6,2026-01-21 19:52:00,Auction,0,19,299,214,1
682055147,webmovie.com,0,21,10545.45,497363.64,31,2026-01-20 16:23:00,Auction,9,19,612,60,14
683188801,iafn.com,11,20,71545.45,590818.18,27,2026-01-19 16:56:00,Auction,4,12,25,16,13
684961844,forsalelistings.com,0,20,54272.73,189727.27,27,2026-01-25 16:57:00,Auction,0,0,1,1,
683183138,figureme.com,0,20,18636.36,330000,18,2026-01-19 17:31:00,Auction,0,5,7,7,5
684855852,82988.com,0,20,19545.45,312909.09,15,2026-01-24 16:51:00,Auction,0,3,42,16,15
683172635,ascentpro.com,0,20,18636.36,255909.09,12,2026-01-19 17:55:00,Auction,0,10,8,8,3
683171966,thecarrolltondentist.com,15,20,55454.55,133090.91,23,2026-01-19 20:12:00,Auction,3,13,35,25,1
683676603,refundhub.com,2,20,8545.45,239636.36,8,2026-01-20 19:57:00,Auction,0,11,12,11,7
683607412,labpoint.com,0,19,30727.27,611000,23,2026-01-24 17:41:00,Auction,0,13,21,20,16
683172627,republicmonews.com,0,19,10090.91,120000,6,2026-01-19 20:51:00,Auction,26,23,5836,1530,1
682075441,rogerblench.info,0,19,61454.55,363.64,,2026-01-20 17:11:00,Auction,16,20,6131,1634,1
684788135,scoutable.com,0,19,31181.82,317000,19,2026-01-23 19:44:00,Auction,0,5,4,4,11
683165168,militaryhandbooks.com,0,19,15454.55,91545.45,25,2026-01-19 19:05:00,Auction,16,18,429,201,1
683189114,mesotheliomacompensation.com,0,18,37090.91,862727.27,23,2026-01-19 16:54:00,Auction,0,4,10,10,6
683651585,berith.com,35,18,10909.09,606181.82,30,2026-01-20 19:14:00,Auction,21,18,564,176,19
685119233,dyto.com,0,18,73636.36,665363.64,22,2026-01-26 20:37:00,Auction,0,7,7,7,15
683173806,weinside.com,0,18,12545.45,578272.73,16,2026-01-19 20:42:00,Auction,0,8,10,9,2
684947078,univentures.com,0,18,30727.27,389454.55,23,2026-01-25 20:35:00,Auction,3,16,347,172,9
681302874,epaycore.com,0,18,7181.82,299545.45,11,2026-01-20 20:50:00,Auction,10,35,329861,259,1
683157929,explore360.com,0,18,7454.55,672727.27,27,2026-01-27 19:12:00,Auction,1,5,5,5,23
683186236,fleetprotect.com,0,18,26818.18,254272.73,17,2026-01-19 19:38:00,Auction,0,5,5,5,8
685096886,bcj.org,2,17,25454.55,642454.55,28,2026-01-26 21:11:00,Auction,0,4,19,16,60
681603058,wbird.com,0,17,10090.91,430909.09,31,2026-01-21 18:50:00,Auction,21,15,53,25,12
683655691,prefix.org,0,16,23636.36,421727.27,24,2026-01-21 18:15:00,Auction,0,4,19,16,86
681761728,theangrycrabchicago.com,0,16,188636.36,57272.73,11,2026-01-19 17:28:00,Auction,14,17,189,158,1
682745035,austindiscoveryschool.org,13,16,55454.55,14727.27,22,2026-01-19 16:35:00,Auction,11,18,490,214,2
683159500,performancespecialists.com,0,16,11454.55,492909.09,29,2026-01-19 17:26:00,Auction,0,11,14,13,
683677450,isuz.com,0,16,20636.36,283181.82,24,2026-01-24 20:37:00,Auction,0,11,23,16,6
684018917,recyclesolutions.com,7,16,20181.82,504636.36,29,2026-01-21 20:10:00,Auction,3,12,762,16,7
684037616,lifestylenutrition.com,0,15,9545.45,705818.18,12,2026-01-21 17:41:00,Auction,4,14,155,45,12
682069930,heartbrain.com,0,15,10545.45,681636.36,24,2026-01-20 17:43:00,Auction,3,15,254,156,22
684445961,industrialrubbergoods.com,0,15,9545.45,108090.91,20,2026-01-22 16:20:00,Auction,6,19,1500,306,1
681835048,prioritizehealth.com,0,15,9090.91,186454.55,14,2026-01-19 19:33:00,Auction,0,13,32,24,4
684054761,learnbet.com,0,15,6363.64,577454.55,12,2026-01-21 20:18:00,Auction,0,11,18,17,3
684946727,valerium.com,0,15,10454.55,456090.91,22,2026-01-25 19:13:00,Auction,0,5,4,4,13
684436807,apollotheatre.com,2,15,15454.55,534090.91,31,2026-01-22 20:33:00,Auction,8,7,76,17,8
684041558,futuracapital.com,0,15,18636.36,205363.64,18,2026-01-21 18:14:00,Auction,0,4,3,3,
684847737,rails.co,2,14,5545.45,443727.27,7,2026-01-24 18:05:00,Auction,0,3,3,3,143
681825365,meshops.com,0,14,12545.45,413000,27,2026-01-19 16:51:00,Auction,0,1,14,14,9
684933709,vieh.com,0,14,20181.82,584272.73,28,2026-01-25 19:19:00,Auction,16,13,33,17,17
683165384,newyorkspace.com,0,14,19636.36,158545.45,27,2026-01-19 20:15:00,Auction,0,11,15,15,1
685091798,imaginings.com,0,14,5545.45,824727.27,30,2026-01-26 18:34:00,Auction,0,6,26,14,9
684841925,pazoo.com,2,14,19545.45,301727.27,26,2026-01-24 21:14:00,Auction,12,16,749,212,12
684952294,capitalempire.com,0,14,10545.45,471090.91,23,2026-01-25 17:46:00,Auction,0,12,18,18,10
684038010,voyagerlabs.com,0,14,14090.91,427909.09,15,2026-01-21 18:38:00,Auction,0,5,6,6,12
683173292,faulted.com,0,14,27636.36,337363.64,22,2026-01-19 18:25:00,Auction,0,4,2,2,5
684797864,440.co,0,14,5636.36,561454.55,11,2026-01-23 16:28:00,Auction,0,4,2,2,69
682348124,hotshot.co,0,13,11454.55,393454.55,4,2026-01-21 16:37:00,Auction,12,24,24582,485,110
684037967,supercomputer.org,0,13,12363.64,228181.82,28,2026-01-21 21:26:00,Auction,9,14,47,26,72
685093566,obvious.net,0,13,7272.73,641000,24,2026-01-26 16:22:00,Auction,0,12,22,21,122
685100645,flowersinisrael.com,0,13,27727.27,79363.64,20,2026-01-26 17:03:00,Auction,26,30,2752,414,2
683473913,zdocs.com,0,13,5000,694909.09,27,2026-01-23 20:10:00,Auction,0,8,12,10,15
685126588,jj18.com,0,13,6636.36,354272.73,19,2026-01-26 16:23:00,Auction,0,11,25,21,13
683651584,ardani.com,0,13,9545.45,167272.73,29,2026-01-20 18:51:00,Auction,21,17,1224,170,10
684474917,cryptonized.com,0,13,5545.45,252000,7,2026-01-22 19:46:00,Auction,0,7,4,4,4
684436811,plantamerica.com,0,13,9636.36,200000,29,2026-01-22 17:37:00,Auction,17,23,10387,131,3
685140569,19855.com,2,13,5090.91,326090.91,18,2026-01-26 17:48:00,Auction,0,5,20,12,7
683178052,oneoceanbeauty.com,20,13,23181.82,122909.09,9,2026-01-19 18:29:00,Auction,12,23,983,391,3
681492659,tastefulgarden.com,0,13,14090.91,114818.18,22,2026-01-21 17:32:00,Auction,25,21,1093,369,1
683187550,bkjm.com,7,13,39818.18,393636.36,22,2026-01-19 17:55:00,Auction,0,8,55,16,6
684046104,backyardsolutions.com,0,13,8636.36,448545.45,24,2026-01-21 20:07:00,Auction,0,7,7,7,6
683666912,review.xyz,2,13,10000,642272.73,9,2026-01-20 18:33:00,Auction,0,4,5,5,
684442502,pc555.com,2,13,7000,217363.64,20,2026-01-22 20:02:00,Auction,2,13,44,35,5
684841167,science-facts.com,0,13,10454.55,136545.45,20,2026-01-24 21:24:00,Auction,24,17,257,186,5
684946404,flexlogic.com,0,13,6363.64,617727.27,22,2026-01-25 20:48:00,Auction,0,5,4,4,18
685496465,qtrip.com,2,13,12363.64,512818.18,23,2026-01-27 20:20:00,Auction,8,18,5725,724,20
684853622,pauljmeyer.com,30,12,7454.55,82000,27,2026-01-24 16:27:00,Auction,41,35,7899,851,1
684945947,stemcellresearchnews.com,0,12,6818.18,163909.09,27,2026-01-25 21:25:00,Auction,26,18,375,199,2
684050963,optibody.com,0,12,11545.45,304818.18,20,2026-01-21 18:30:00,Auction,0,11,16,16,7
684786349,payhub.net,0,12,4727.27,392636.36,19,2026-01-23 18:42:00,Auction,0,12,25,25,79
685091800,mothernurture.com,0,12,4636.36,835636.36,30,2026-01-26 16:09:00,Auction,3,15,21,19,29
684933780,broza.com,0,12,4363.64,526909.09,31,2026-01-25 18:15:00,Auction,12,16,7883,48,13
681674321,teachingaids.com,0,11,4545.45,324000,29,2026-01-22 19:48:00,Auction,0,9,11,11,
683667333,primestandard.com,4,11,8454.55,558000,22,2026-01-20 16:09:00,Auction,0,7,8,8,6
685131820,21158.com,0,11,4181.82,551272.73,21,2026-01-26 19:12:00,Auction,0,15,135,91,11
684954306,angelarose.com,0,11,3818.18,600090.91,27,2026-01-25 20:35:00,Auction,10,15,118,33,13
685700250,furat.com,4,11,38636.36,1199545.45,28,2026-01-28 21:09:00,Auction,0,0,0,0,18
683159503,timberway.com,0,11,4636.36,146454.55,30,2026-01-19 17:35:00,Auction,7,15,96,33,7
